epoch,n_parameters,test_acc1,test_acc5,test_loss,train_loss,train_lr
0,12433929,13.35999990234375,39.68000034790039,3.062595517547042,3.1805911686620103,1.0000000000000137e-06
1,12433929,15.119999984741211,44.71999994506836,2.9969676821320146,3.1233969291442722,1.0000000000000137e-06
2,12433929,33.75999987792969,71.52000004882812,2.2418093460577504,2.7942893261979953,0.00020080000000000087
3,12433929,43.52000008239746,79.99999946289063,1.897700141977381,2.5855502635974603,0.0004005999999999903
